Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
acl_Permit_TCP_170.70.13.134_6,permit,tcp,172.17.87.0/24,170.70.13.134/32,59113,any
acl_Permit_TCP_170.70.13.134_7,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,80
acl_Permit_TCP_170.70.13.134_8,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,443
acl_Permit_TCP_170.70.13.134_9,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,389
acl_Permit_TCP_170.70.13.134_10,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,636
acl_Permit_TCP_170.70.13.134_11,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,1443
acl_Permit_TCP_170.70.13.134_12,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,2000
acl_Permit_TCP_170.70.13.134_13,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,any
acl_Permit_TCP_170.70.13.134_14,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,9100
acl_Permit_TCP_170.70.13.134_15,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,any
acl_Permit_TCP_170.70.13.134_16,permit,tcp,172.17.87.0/24,170.70.13.134/32,any,65211
acl_Permit_UDP_170.70.13.134_1,permit,udp,172.17.87.0/24,170.70.13.134/32,162,any
acl_Permit_UDP_170.70.13.134_2,permit,udp,172.17.87.0/24,170.70.13.134/32,445,any
acl_Permit_UDP_170.70.13.134_3,permit,udp,172.17.87.0/24,170.70.13.134/32,1434,any
acl_Permit_UDP_170.70.13.134_4,permit,udp,172.17.87.0/24,170.70.13.134/32,2493,any
acl_Permit_UDP_170.70.13.134_5,permit,udp,172.17.87.0/24,170.70.13.134/32,3702,any
acl_Permit_UDP_170.70.13.134_6,permit,udp,172.17.87.0/24,170.70.13.134/32,8000,any
acl_Permit_UDP_170.70.13.134_7,permit,udp,172.17.87.0/24,170.70.13.134/32,any,69
acl_Permit_UDP_170.70.13.134_8,permit,udp,172.17.87.0/24,170.70.13.134/32,any,427
acl_Permit_UDP_170.70.13.134_9,permit,udp,172.17.87.0/24,170.70.13.134/32,any,2493
